2021-10-29 08:54:59.581440,0.98,3.212,1.75,0.24,18.0
2021-10-29 08:55:00.586915,1.98,3.225,1.75,0.73,19.0
2021-10-29 08:55:01.592369,2.99,3.235,1.75,1.21,18.0
2021-10-29 08:55:02.597754,3.99,3.241,1.75,1.7,19.25
2021-10-29 08:55:03.603254,5.0,3.246,1.75,2.19,18.75
2021-10-29 08:55:04.608669,6.0,3.251,1.75,2.68,18.75
2021-10-29 08:55:05.614097,7.01,3.256,1.75,3.17,18.75
2021-10-29 08:55:06.619428,8.01,3.261,1.75,3.66,18.75
2021-10-29 08:55:07.624852,9.02,3.265,1.75,4.15,18.75
2021-10-29 08:55:08.630345,10.02,3.271,1.75,4.64,18.25
2021-10-29 08:55:09.635701,11.03,3.275,1.75,5.12,19.0
2021-10-29 08:55:10.641093,12.03,3.279,1.75,5.61,18.25
2021-10-29 08:55:11.646541,13.04,3.283,1.75,6.1,19.25
2021-10-29 08:55:12.651989,14.05,3.287,1.75,6.59,18.0
2021-10-29 08:55:13.657424,15.05,3.29,1.75,7.08,18.75
2021-10-29 08:55:14.662809,16.06,3.294,1.75,7.57,17.75
2021-10-29 08:55:15.668243,17.06,3.299,1.75,8.06,18.5
2021-10-29 08:55:16.673737,18.07,3.303,1.75,8.55,18.25
2021-10-29 08:55:17.679217,19.07,3.306,1.75,9.03,17.75
2021-10-29 08:55:18.689702,20.08,3.309,1.75,9.53,18.5
2021-10-29 08:55:19.695152,21.09,3.312,1.75,10.01,18.25
2021-10-29 08:55:20.700571,22.09,3.315,1.75,10.5,19.25
2021-10-29 08:55:21.706056,23.1,3.318,1.75,10.99,18.5
2021-10-29 08:55:22.711487,24.11,3.323,1.75,11.48,19.25
2021-10-29 08:55:23.716927,25.11,3.326,1.75,11.97,18.0
2021-10-29 08:55:24.722384,26.12,3.329,1.75,12.46,18.75
2021-10-29 08:55:25.727720,27.12,3.331,1.75,12.95,18.5
2021-10-29 08:55:26.733214,28.13,3.334,1.75,13.44,18.75
2021-10-29 08:55:27.738583,29.13,3.338,1.75,13.92,18.5
2021-10-29 08:55:28.744013,30.14,3.34,1.75,14.41,18.75
2021-10-29 08:55:29.749440,31.14,3.344,1.75,14.9,19.0
2021-10-29 08:55:30.754901,32.15,3.346,1.75,15.39,19.25
2021-10-29 08:55:31.760275,33.15,3.349,1.75,15.88,18.75
2021-10-29 08:55:32.765742,34.16,3.352,1.75,16.37,18.75
2021-10-29 08:55:33.771101,35.16,3.354,1.75,16.86,19.0
2021-10-29 08:55:34.776613,36.17,3.357,1.75,17.35,18.0
2021-10-29 08:55:35.782111,37.18,3.36,1.75,17.83,19.25
2021-10-29 08:55:36.787385,38.18,3.362,1.75,18.32,18.25
2021-10-29 08:55:37.792942,39.19,3.365,1.75,18.81,18.5
